Nome: RIO SONO
Codigo Estacao: A050
Latitude: -9.793363
Longitude: -47.132732
Altitude: 291
Situacao: Operante
Data Inicial: 2016-08-02
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;null;null;null;27,9;null;null;
2016-09-30;4;24,2;976,1;28,5;7,9;2,2;
2016-10-31;5;18,8;974,3;28,4;10;2,1;
2016-11-30;13;71,8;973,7;27,5;6,4;1,9;
2016-12-31;14;142,6;974,6;26,7;7,3;1,7;
2017-01-31;19;259,2;975,2;25,4;6,8;1,4;
2017-02-28;23;null;975,6;24,8;8,9;1,5;
2017-03-31;20;134,8;975,4;25,6;6;1,3;
2017-04-30;12;156;975,6;26,5;null;null;
2017-05-31;2;2;976,3;26,5;null;null;
2017-06-30;null;0;977,5;24,5;null;null;
2017-07-31;0;0;980;23,5;null;null;
2017-08-31;null;0;976,6;26,5;null;null;
2017-09-30;null;0;976,5;28,5;null;null;
2017-10-31;2;10;973,8;29,5;null;null;
2017-11-30;18;140,4;973,9;26,4;null;null;
2017-12-31;26;358,8;974,5;25,4;5,3;1,5;
2018-01-31;23;210,4;975,1;25,1;7,5;1,5;
2018-02-28;23;364,2;975,2;24,9;6,1;1,4;
2018-03-31;16;259;975,4;25,4;7,7;1,5;
2018-04-30;15;112,2;976,3;25,6;6,3;1,5;
2018-05-31;3;6,8;977;25,5;6,6;1,7;
2018-06-30;1;,6;978,2;23,9;5,8;1,8;
2018-07-31;0;0;978,1;23,8;6,6;1,8;
2018-08-31;2;12,8;977,5;26,2;7;2;
2018-09-30;null;null;974,7;28;7,9;1,8;
2018-10-31;15;332,6;974,5;26,5;6,9;1,5;
2018-11-30;20;295;974,3;25,8;6,9;1,6;
2018-12-31;19;345,2;976,1;25,2;6,4;1,5;
2019-01-31;17;138,2;976,4;25,6;7,4;1,5;
2019-02-28;20;246;975,8;25,1;8,5;1,5;
2019-03-31;23;267,8;976,2;25,5;7,9;1,4;
2019-04-30;17;165,8;976;25,8;7,4;1,4;
2019-05-31;10;null;975,9;25,7;6,3;1,4;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;23,9;6,8;null;
2019-08-31;null;null;null;24,9;8,7;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;12;null;974,7;27,6;8,9;1,8;
2019-11-30;17;160,4;973,8;26,9;6,5;1,6;
2019-12-31;13;158,2;974,1;27,2;7,1;1,6;

